name,code,char,include
poop,1F4A9,?,Y
ghost,1F47B,?,Y
kiss,1F48B,?,Y
heart,1F498,?,Y
thumb,1F44D,?,Y
ear,1F442,?,Y
nose,1F443,?,Y
eyes,1F440,?,Y
tongue,1F445,?,Y
mouth,1F444,?,Y
baby,1F476,?,Y
runner,1F3C3,?,Y
dancer,1F483,?,Y
horse,1F3C7,?,Y
snowboarder,1F3C2,?,Y
surfer,1F3C4,?,Y
rowboat,1F6A3,?,Y
swimmer,1F3CA,?,Y
bicyclist,1F6B4,?,Y
bath,1F6C0,?,Y
family,1F46A,?,Y
footprints,1F463,?,Y
monkey-face,1F435,?,Y
monkey,1F412,?,Y
dog-face,1F436,?,Y
dog,1F415,?,Y
poodle,1F429,?,Y
wolf-face,1F43A,?,Y
cat-face,1F431,?,Y
cat,1F408,?,Y
tiger-face,1F42F,?,Y
tiger,1F405,?,Y
leopard,1F406,?,Y
horse-face,1F434,?,Y
horse,1F40E,?,Y
cow-face,1F42E,?,Y
ox,1F402,?,Y
water-buffalo,1F403,?,Y
cow,1F404,?,Y
pig-face,1F437,?,Y
pig,1F416,?,Y
boar,1F417,?,Y
pig-nose,1F43D,?,Y
ram,1F40F,?,Y
sheep,1F411,?,Y
goat,1F410,?,Y
camel,1F42A,?,Y
elephant,1F418,?,Y
mouse-face,1F42D,?,Y
mouse,1F401,?,Y
rat,1F400,?,Y
hamster-face,1F439,?,Y
rabbit-face,1F430,?,Y
rabbit,1F407,?,Y
bear-face,1F43B,?,Y
koala,1F428,?,Y
panda-face,1F43C,?,Y
paw-prints,1F43E,?,Y
chicken,1F414,?,Y
rooster,1F413,?,Y
chick,1F424,?,Y
bird,1F426,?,Y
penguin,1F427,?,Y
frog-face,1F438,?,Y
crocodile,1F40A,?,Y
turtle,1F422,?,Y
snake,1F40D,?,Y
dragon-face,1F432,?,Y
dragon,1F409,?,Y
spouting-whale,1F433,?,Y
whale,1F40B,?,Y
dolphin,1F42C,?,Y
fish,1F41F,?,Y
tropical-fish,1F420,?,Y
blowfish,1F421,?,Y
octopus,1F419,?,Y
spiral-shell,1F41A,?,Y
snail,1F40C,?,Y
bug,1F41B,?,Y
ant,1F41C,?,Y
honeybee,1F41D,?,Y
lady-beetle,1F41E,?,Y
bouquet,1F490,?,Y
cherry-blossom,1F338,?,Y
white-flower,1F4AE,?,Y
rose,1F339,?,Y
hibiscus,1F33A,?,Y
sunflower,1F33B,?,Y
blossom,1F33C,?,Y
tulip,1F337,?,Y
seedling,1F331,?,Y
evergreen-tree,1F332,?,Y
deciduous-tree,1F333,?,Y
palm-tree,1F334,?,Y
cactus,1F335,?,Y
ear-of-rice,1F33E,?,Y
herb,1F33F,?,Y
four-leaf-clover,1F340,?,Y
maple-leaf,1F341,?,Y
fallen-leaf,1F342,?,Y
leaf-fluttering-in-wind,1F343,?,Y
grapes,1F347,?,Y
melon,1F348,?,Y
watermelon,1F349,?,Y
tangerine,1F34A,?,Y
lemon,1F34B,?,Y
banana,1F34C,?,Y
pineapple,1F34D,?,Y
